country,lat,long
Afghanistan,33.93911,67.709953
Albania,41.153332,20.168331
Algeria,28.033886,1.6596259999999998
Andorra,42.546245,1.6015540000000001
Argentina,-38.416097,-63.616671999999994
Armenia,40.069099,45.038189
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927000000005
Bahamas,25.03428,-77.39628
Bahrain,25.930414000000003,50.637772
Bangladesh,23.684994,90.35633100000001
Barbados,13.193887,-59.543198
Belarus,53.709807,27.953389
Belgium,50.503887,4.469936
Bolivia,-16.290154,-63.588653
Bosnia and Herzegovina,43.915886,17.679076000000002
Brazil,-14.235004,-51.92528
Brunei,4.535277,114.72766899999999
Bulgaria,42.733883,25.48583
Burkina Faso,12.238333,-1.561593
Cabo Verde,16.002082,-24.013197
Cambodia,12.565679,104.990963
Cameroon,7.369722,12.354722
Canada,56.130366,-106.34677099999999
Chile,-35.675146999999996,-71.542969
China,35.86166,104.195397
Colombia,4.570868,-74.297333
Congo (Brazzaville),-0.228021,15.827658999999999
Congo (Kinshasa),-4.038333000000001,21.758664000000003
Costa Rica,9.748917,-83.753428
Cote d'Ivoire,7.539989,-5.54708
Croatia,45.1,15.2
Cuba,21.521757,-77.78116700000001
Cyprus,35.126413,33.429859
Czechia,49.817492,15.472961999999999
Denmark,56.26392,9.501785
Djibouti,11.825138,42.590275
Dominican Republic,18.735692999999998,-70.162651
Ecuador,-1.8312389999999998,-78.183406
Egypt,26.820553000000004,30.802497999999996
El Salvador,13.794185,-88.89653
Equatorial Guinea,1.6508009999999997,10.267895
Estonia,58.595271999999994,25.013607
Ethiopia,9.145,40.489672999999996
Finland,61.92411,25.748151
France,46.227638,2.213749
Gabon,-0.803689,11.609444
Georgia,42.315407,43.356891999999995
Germany,51.165690999999995,10.451526
Ghana,7.946527000000001,-1.0231940000000002
Greece,39.074208,21.824312
Guatemala,15.783470999999999,-90.23075899999999
Guinea,9.945587,-9.696645
Guyana,4.860416000000001,-58.93018000000001
Honduras,15.199998999999998,-86.241905
Hungary,47.162494,19.503304
Iceland,64.96305100000001,-19.020835
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Iran,32.427908,53.68804599999999
Iraq,33.223191,43.679291
Ireland,53.41291,-8.243889999999999
Israel,31.046051000000002,34.851612
Italy,41.87194,12.56738
Jamaica,18.109581,-77.297508
Japan,36.204824,138.252924
Jordan,30.585164000000002,36.238414
Kazakhstan,48.019573,66.923684
Kenya,-0.023559,37.906193
"Korea, South",35.907757000000004,127.766922
Kuwait,29.311659999999996,47.481766
Kyrgyzstan,41.20438,74.766098
Latvia,56.879635,24.603189
Lebanon,33.854721000000005,35.862285
Liberia,6.4280550000000005,-9.429499
Liechtenstein,47.166000000000004,9.555373
Lithuania,55.169438,23.881275
Luxembourg,49.815273,6.129583
Madagascar,-18.766947000000002,46.869107
Malaysia,4.210483999999999,101.97576600000001
Malta,35.937496,14.375416
Mauritius,-20.348404000000002,57.552152
Mexico,23.634501,-102.552784
Moldova,47.411631,28.369884999999996
Monaco,43.750298,7.412841
Montenegro,42.708678000000006,19.37439
Morocco,31.791702,-7.09262
Netherlands,52.132633,5.291266
New Zealand,-40.900557,174.88597099999998
Niger,17.607789,8.081666
Nigeria,9.081999,8.675277000000001
North Macedonia,41.608635,21.745275
Norway,60.472024,8.468946
Oman,21.512583,55.923255000000005
Pakistan,30.375321000000003,69.345116
Panama,8.537981,-80.782127
Paraguay,-23.442503,-58.44383199999999
Peru,-9.189967,-75.015152
Philippines,12.879721,121.77401699999999
Poland,51.919438,19.145135999999997
Portugal,39.399871999999995,-8.224454
Qatar,25.354826,51.183884
Romania,45.943160999999996,24.96676
Russia,61.52401,105.31875600000001
Rwanda,-1.940278,29.873888
San Marino,43.94236,12.457777
Saudi Arabia,23.885942,45.079162
Senegal,14.497401000000002,-14.452361999999999
Serbia,44.016521000000004,21.005859
Singapore,1.352083,103.819836
Slovakia,48.669026,19.699023999999998
Slovenia,46.151241,14.995463
Somalia,5.152149,46.199616
South Africa,-30.559482,22.937506
Spain,40.463667,-3.7492199999999998
Sri Lanka,7.873054,80.77179699999999
Sweden,60.128161,18.643501
Switzerland,46.818188,8.227511999999999
Taiwan*,23.69781,120.96051499999999
Tanzania,-6.369028,34.888822
Thailand,15.870032,100.992541
Togo,8.619543,0.824782
Trinidad and Tobago,10.691803,-61.222503
Tunisia,33.886917,9.537499
Turkey,38.963745,35.243322
Uganda,1.373333,32.290275
Ukraine,48.379433,31.16558
United Arab Emirates,23.424076,53.847818000000004
United Kingdom,55.378051,-3.435973
Uruguay,-32.522779,-55.765834999999996
US,37.09024,-95.712891
Uzbekistan,41.377491,64.585262
Venezuela,6.42375,-66.58973
Vietnam,14.058323999999999,108.277199
Zambia,-13.133897,27.849332
West Bank and Gaza,31.354676,34.308825
Mali,17.570692,-3.9961660000000006
Kosovo,42.602636,20.902977
Burma,21.913965,95.956223
