Tweet,Sentiment
#Salud El @MinSaludCol reitera que no hay evidencias cientificas para asegurar que el coronavirus afecte a los anim... https://t.co/mbvgDTWnMx,-0.296
RT @ClubCoronavirus: So- the pay is terrible (there is none) and the staff nights out are crap (there are none) and the office banter is..w...,-0.7269
"Tik tok era bom quando so tinha indiano fazendo, corona, devolve o tik tok p India pfv",0.0
"RT @RSalinasCorona: ""Pedi la renuncia al ministro de salud y las clases presenciales se declaran suspendidas de manera indefinida. Se echa...",0.0
"""Actor Idris Elba Launches U.N. Coronavirus Fund for Poor Farmers"" by Reuters via NYT https://t.co/Nu1PNDUHvP",-0.4767
RT @CovidFoodFuture: #POLL  As a farmer and an agripreneur what has been the biggest barrier and obstacle in doing agribusiness and provido...,-0.4588
@foodeatbem @slbssilva @OFuraRedes Sim porque es tu que ves a regularidade do Telles ou do Corona todas as semanas,0.0
"RT @UniSouthWales: Our scientists have developed a rapid test to detect #Coronavirus, which could be used in weeks. 
 
It involves taking a...",0.0
"RT @Alyssa_Milano: Hospitals Face a White House Blockade for Coronavirus PPE

The federal government has effectively erected a blockade to...",0.4404
RT @SethAbramson: MAJOR BREAKING NEWS: Top Israeli Media Outlet Confirms U.S. Reporting: Trump Administration Was Aware of Coronavirus Outb...,0.4065
Emergencia por coronavirus refuerza control de Maduro y neutraliza a Guaido https://t.co/D9pdUKiXQE #Mundo... https://t.co/46F0feoVyV,0.0
"RT @alaska_doctor: Conclusiones de las primeras autopsias realizadas en Italia a fallecidos por Covid-19
Gran sorpresa, el tema no es respi...",-0.296
"@guardian Hong Kong on avoiding a coronavirus lockdown
Semi-autonomous city followed WHO advice and moved swiftly t... https://t.co/a7vsFs8BOs",-0.0516
"RT @lovyrsmile: WTF?

Hospitals Face a White House Blockade for Coronavirus PPE https://t.co/CdQ2ZzJn3n",-0.6739
"RT @YONCA15188807: BucaCezaevinde 62Vaka
ICIM DARALIYOR  BU GIDISLE #COVID DEGIL  KALPTEN GITCEZZZ
@abdulhamitgul
@adalet_bakanlik
@drfahre...",0.0
"RT @KellyO: After a lengthy briefing, its unfortunate the head of testing on the coronavirus task force, Adm Giroir was present but did not...",-0.25
"The new #COVID19 +ve case on today(i.e-20.04.2020) indicates that, the odisha and WB boarder is not sealed properl... https://t.co/7XgkwYF8w5",0.0
RT @AdityaRajKaul: 53 journalists in #Mumbai have tested positive for #CoronaVirus. I request Editors Guild of India Chief @ShekharGupta &amp;...,0.5574
"@worstvice @paulaplaguita @NC_Governor So you're a pathologist,have you preformed a postmortem examination?Covid se... https://t.co/yLsDFVvMra",0.0
"RT @Antonio_Tajani: Ecco cosa ha votato @forza_italia sugli investimenti anti #Covid19 Sostanza e non chiacchiere.
Cosi si smentiscono le b...",0.0258
RT @acidigital: 5 principios do Padre Pio que podem ajudar a enfrentar o coronavirus https://t.co/uK3u6OW5eq,0.0
"@revrrlewis A 5 year old in Detroit died yesterday of rare complications related to #COVID19. a 5 year old  

Joel... https://t.co/tJpPVVgO9T",-0.5574
RT @SkyNewsBreak: The Duke of Edinburgh has made a public statement praising those tackling the coronavirus pandemic across the UK and keep...,0.5423
"Corona hue regler :
1: Klip i skyggen hvis du graed
2: Tegn pa huen hvis du sov hele dagen
3: Ohm fyld huen med Mari... https://t.co/czPHm2ykNj",0.0
RT @ChinaUncensored: China has a new #coronavirus death toll lie. Plus we interview Wisconsin Senator @SenatorRoth about a mysterious hotma...,-0.5994
RT @JavierLalito: #SinMedicinasSufrimos y nos dejan a nuestra suerte ante crisis mundial por el coronavirus https://t.co/ubADEuBaX5,-0.6249
More U.S. #Protests Call for Lifting #CoronavirusRestrictions: https://t.co/w4qbGAZBYQ,-0.2911
"RT @alaska_doctor: Conclusiones de las primeras autopsias realizadas en Italia a fallecidos por Covid-19
Gran sorpresa, el tema no es respi...",-0.296
"""There's no point in being committed to a vision if you're..."" - Tim Fargo

#daterush #lockdown #Ghana #COVID... https://t.co/ekbINGKDjZ",0.2263
"RT @BlogdoNoblat: O coronavirus ja foi o maior inimigo do Brasil. Neste momento, Bolsonaro e o maior inimigo.",0.0
"RT @TV5MONDEINFO: Coronavirus en Afrique : Quels sont les deux pays encore officiellement epargnes par la pandemie ? 

A combien s'eleve le...",0.0
"RT @Mippcivzla: [?] Sabias que [?]
El Covid-19 se transmite:
#[?]De persona a persona.
#[?]A traves de personas infectadas.
#[?]Al tocar objetos...",0.0
"RT @Lisa_Cordaro: Functioning under Covid-19 is tough enough without piling extra pressure on yourself to achieve. 

At The Serialist this...",0.0997
RT @SkyNewsBreak: The Duke of Edinburgh has made a public statement praising those tackling the coronavirus pandemic across the UK and keep...,0.5423
"RT @narendramodi: Spoke on phone with H.E. President @ibusolih about the COVID-19 pandemic, and the health and economic challenges it poses...",0.0772
RT @PositivePracti1: IMPORTANT ANNOUNCEMENT in  order to address some of the problems we will face in a post covid-19 world - we are curren...,-0.0431
"RT @purificacionmor: Muchas/os trabajadores se han quedado sin trabajo, sin paro y sin ERTE, a consecuencia del estado de alarma del COVID-...",-0.8957
"@williamlegate Covid19 knows no state lines, knows no color lines, I expect that it knows no IQ lines either!  ""per... https://t.co/2TXTJy2aYp",-0.7088
"Coronavirus: dillii kii aajaadpur sbjii mNddii ke lie nii vyvsthaa, ab puure 24 ghNtte khulegii, yuuN kraayaa jaaegaa soshl ddi... https://t.co/lZPAn5KV1W",0.0
"Coronavirus-driven CO2 shortage threatens US food and water supply, officials say this really worrying.. https://t.co/WCHsLeK3Ow",-0.7425
"RT @DCM_online: Medico morre de coronavirus em Belem, estado que comeca a ter escalada exponencial da doenca https://t.co/ijfHCZM8R4",0.0
"RT @DrOlufunmilayo: Look at USA Coronavirus Trend:

6wks ago: 332 cases
5wks ago: 2,204 cases
4wks ago: 18,763 cases
3wks ago: 101,242 case...",0.0
"RT @curandero_el: Fallecido por virus Corona #COVID2019 :
""La ultima noche que pase con mi marido vi ahi a Jesus, con nosotros"".
Impresiona...",0.0
"RT @ceinnavarra: ?Eres autonoma o autonomo, o tienes una pyme, y tienes dudas sobre las medidas puestas en marcha a raiz del #Covid19 a las...",0.0
"RT @ajaydevgn: If you've recovered from COVID19, you are a Corona warrior. We need an army of such warriors to overcome this invisible enem...",0.0
"RT @MattHancock: We've been working day and night to battle against coronavirus, delivering a strategy designed at all times to protect our...",0.0
"Coronavirus-driven CO2 shortage threatens US food and water supply, officials say &gt; emphasizes how interconnected a... https://t.co/ldROrcYoTE",-0.5574
RT @JuliaHB1: I am very sorry for every death from coronavirus but I won't be taking part. The calls for a minute's silence come thick &amp; fa...,-0.4111
"RT @JohnRLottJr: .@nytimes reporter saying that ""beloved bar owner"" died because @FoxNews down played danger of #Coronavirus so he took a c...",-0.3182
"RT @garci32: COVID death toll as of  this hour=40,683 !!!
America first as per Trump!!
Trump said the US is making a tremendous progress in...",-0.4543
"RT @t0yin_abraham1: Toyin Titans has allocated N1,000,000 towards the Covid-19 response to poor households.

Retweet and drop how much can...",-0.6369
RT @PIB_India: Here is a list of the districts where #COVID19 situation is serious or becoming serious in response to which Government has...,-0.1531
"RT @clebermasson: Todo mundo sabia tudo de Direito Penal. Depois, todo mundo sabia tudo de Medicina, com enfase em coronavirus. Agora, todo...",0.0
"RT @MarcZenn: Two nurses, who have witnessed first hand the toll Covid  is taking in Colorado, stood up and peacefully counter protested. H...",0.7269
"RT @RealSaavedra: Are you stupid or just a liar?

The U.S. only had 100 coronavirus cases before March 1

The U.S. has now tested well over...",-0.6808
RT @jayfeeka: My grandma passed away on Wednesday because of the coronavirus. She was in a nursing home and a nurse who was sick showed up...,-0.5106
"RT @ProdigyDDK: DAY #2
$100 Corona giveaway

I will give a random person retweeting this $100

To enter follow me and like this video
h...",0.3612
RT @BizAsia: Here's a special song spreading positivity during #coronavirus by #SalmanKhan called #PyarKarona : https://t.co/rIrYRzZ6CQ,0.7184
When you listen to New York's legislators you'd feel like the Corona virus was nothing more than a cold or your all... https://t.co/tNJsEWQHEp,0.3612
"RT @Cmdte_Aviacion: Nuestra amada Venezuela esta dando una batalla sin igual ante #Covid_19, gracias a el modelo humanista que nosotros hem...",-0.5574
RT @DolarToday: !Hay pruebas! Conozca lo que escondia China del COVID-19  https://t.co/eUS2lgWeet,0.0
"RT @LucioQuincioC: Tomado los Altos Mirandinos, no hay paso a Caracas, Faes,GNB y DGCIM enfrentado al cartel del #Covid19  https://t.co...",-0.296
"RT @todonoticias: El brutal femicidio del primer preso con coronavirus en la Argentina: mato a su hija, la subio a un remis y se la entrego...",-0.6249
"RT @KaivanShroff: Total U.S. Coronavirus deaths: 

41,379 

Total South Korean Coronavirus deaths: 

236 

Don't say this is nobody's fault...",-0.4019
RT @jvplive: Now there are 5 coronavirus testing kits in Gaza. FIVE. Israel has allowed five testing kits purchased by the World Health Org...,0.0
"RT @PolScorr: #Putin a Sputnik
<<situazione #Covid19 sotto controllo>>

A #Vladikavkaz [Rep. Ossezia], #Russia del sud, ci sono proteste cont...",0.0
"Aimed at setting up relief and assistance mechanisms to reduce people's suffering during the COVID-19 pandemic,... https://t.co/mfUhPeWwt6",0.0
RT @ikaitor: La cifra diaria de muertes con coronavirus baja de los 400 por primera vez en un mes y los casos totales superan los 200.000 h...,0.0
"RT @grantstern: A totally man-made disaster. Trump is that man. Republicans are his men.

#CoronavirusPandemic  https://t.co/WEiqtV02hn",-0.6573
Desescalada en Espana: ?abriran los bares en mayo? https://t.co/Kh77t5pyRk #Coronavirus #COVID19,0.0
Coronavirus: latest developments at a glance https://t.co/LjOzg1RE72,0.0
ICO Gives Cautious Thumbs-Up to #COVID19 Contact Tracing Apps https://t.co/bkYZpHIA2v,-0.1027
Hay relacion de incidencias del coronavirus entre  los paises con tecnologia 5G y los que no lo tienen??? Cada dia... https://t.co/cimDHdOIUN,-0.4098
RT @UN_Women: #StayHome orders to contain the spread of the #coronavirus means home becomes a school for many families around the world....,0.0
"RT @MarcZenn: Two nurses, who have witnessed first hand the toll Covid  is taking in Colorado, stood up and peacefully counter protested. H...",0.7269
"RT @narendramodi: Spoke on phone with H.E. President @ibusolih about the COVID-19 pandemic, and the health and economic challenges it poses...",0.0772
RT @compolmlr: Just reproducing the experiences of a cured  COVID19 patient.. please listento the first hand account about the care entire...,0.8271
"RT @SkyNews: Tony Blair, former prime minister says the #coronavirus outbreak is the ""most complicated and difficult challenge I have ever...",-0.3535
"RT @ElCuervoNica: [?][?][?][?] #CapitalismKills 

 Las turbas radicales de #Trump protestan armados contra las medidas del #COVID19 y esta bie...",0.0
"RT @JosPastr: En mi pueblo, 160 habitantes, la mayoria ancianos, ni un caso de coronavirus, la gente encerrada en casa. ?Esto que es? ?Es q...",0.0
"RT @Ak_jinbts: In honor of Seokjin to celebrate his 10000th day today we are donating 10,000 Won (8.15 USD) to WHO covid global fund under...",0.891
RT @nsui: India is fighting a battle against #Covid &amp; our corona warriors are putting lot of efforts to save our country. But there is uniq...,-0.1154
"RT @BlackBernieBabe: Interesting . Venezuela has a 6 month rent suspension, banned lay offs, guaranteed workers wages during COVID. It was...",-0.0772
"RT @UNICEF: Asher, 4, from Zambia has a message for ""ALL the kids"" on how to slow the spread of #coronavirus. https://t.co/xRUN0vHPte",0.0
"RT @Stand_with_HK: What Went WRONG with the Battle against #Coronavirus? 

We at @Stand_with_HK have created a new explainer video regard...",-0.6633
